Station;Culture_start;Assay_start;Original_sal;Treatment_sal;Replicate;Time;Active
SW08;2022-08-31;2023-04-11;12.2;3;3;72;1
SW08;2022-08-31;2023-04-11;12.2;3;3;72;1
SW08;2022-08-31;2023-04-11;12.2;3;3;72;1
SW08;2022-08-31;2023-04-11;12.2;3;3;72;1
SW08;2022-08-31;2023-04-11;12.2;5;1;72;1
SW08;2022-08-31;2023-04-11;12.2;5;1;72;1
SW08;2022-08-31;2023-04-11;12.2;5;1;72;1
SW08;2022-08-31;2023-04-11;12.2;5;1;72;1
SW08;2022-08-31;2023-04-11;12.2;5;1;72;1
SW08;2022-08-31;2023-04-11;12.2;5;2;72;1
SW08;2022-08-31;2023-04-11;12.2;5;2;72;1
SW08;2022-08-31;2023-04-11;12.2;5;2;72;1
SW08;2022-08-31;2023-04-11;12.2;5;2;72;1
SW08;2022-08-31;2023-04-11;12.2;5;2;72;1
SW08;2022-08-31;2023-04-11;12.2;5;3;72;1
SW08;2022-08-31;2023-04-11;12.2;5;3;72;1
SW08;2022-08-31;2023-04-11;12.2;5;3;72;1
SW08;2022-08-31;2023-04-11;12.2;5;3;72;1
SW08;2022-08-31;2023-04-11;12.2;5;3;72;1
SW08;2022-08-31;2023-04-11;12.2;15;1;72;1
SW08;2022-08-31;2023-04-11;12.2;15;1;72;1
SW08;2022-08-31;2023-04-11;12.2;15;1;72;1
SW08;2022-08-31;2023-04-11;12.2;15;1;72;1
SW08;2022-08-31;2023-04-11;12.2;15;1;72;1
SW08;2022-08-31;2023-04-11;12.2;15;2;72;1
SW08;2022-08-31;2023-04-11;12.2;15;2;72;1
SW08;2022-08-31;2023-04-11;12.2;15;2;72;1
SW08;2022-08-31;2023-04-11;12.2;15;2;72;1
SW08;2022-08-31;2023-04-11;12.2;15;2;72;1
SW08;2022-08-31;2023-04-11;12.2;15;3;72;1
SW08;2022-08-31;2023-04-11;12.2;15;3;72;1
SW08;2022-08-31;2023-04-11;12.2;15;3;72;1
SW08;2022-08-31;2023-04-11;12.2;15;3;72;1
SW08;2022-08-31;2023-04-11;12.2;15;3;72;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;0.1;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;1;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;2;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;3;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;5;3;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;15;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;15;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;15;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;15;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;15;1;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;15;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;15;2;0;1
Wilhelmshaven;2022-09-09;2023-06-21;31;15;2;0;1
